Trek_Name,District,Difficulty,Height_m,Best_Season,Historical_Significance,Description,Latitude,Longitude
"Chadar Trek","Ladakh","Hard",3380,"Jan-Feb","Ancient trade route on frozen Zanskar River","Walk on frozen river surrounded by steep canyon walls",33.120,76.980
"Hampta Pass","Kullu","Moderate",4270,"Jun-Sep","Ancient shepherd migration route","Dramatic crossover from green Kullu to barren Spiti",32.300,77.420
"Triund Trek","Kangra","Easy",2850,"Mar-Jun,Sep-Dec","Used by Gaddi shepherds","Short scenic trek with Dhauladhar views",32.240,76.320
"Kedarkantha Trek","Uttarkashi","Moderate",3810,"Dec-Apr","Linked to Kedarnath mythology","Famous winter summit trek with snow trails",31.020,78.100
"Valley of Flowers","Chamoli","Easy",3650,"Jul-Sep","UNESCO World Heritage site","Alpine valley with rare Himalayan flowers",30.730,79.600
"Roopkund Trek","Chamoli","Hard",5029,"May-Jun,Sep-Oct","Mystery skeleton lake","High-altitude glacial lake trek",30.260,79.730
"Har Ki Dun","Uttarkashi","Moderate",3566,"Apr-Jun,Sep-Nov","Mythological route to Swargarohini","Beautiful cradle-shaped valley trek",31.110,78.460
"Nag Tibba","Tehri","Easy",3022,"Oct-Apr","Local deity Nag Devta temple","Best weekend trek near Mussoorie",30.480,78.100
"Bhrigu Lake","Kullu","Easy-Moderate",4300,"May-Oct","Associated with Sage Bhrigu","Alpine meadows and high-altitude lake",32.370,77.270
"Beas Kund","Kullu","Moderate",3700,"May-Oct","Source of Beas River","Glacier trek with Himalayan peak views",32.390,77.140
"Sar Pass","Kullu","Moderate",4220,"May-Jun","Traditional Himachali route","Snow bridges and scenic camps",32.010,77.310
"Kheerganga","Kullu","Easy",2960,"Apr-Nov","Hot springs pilgrimage site","Forest trek ending in natural hot water pools",32.010,77.490
"Prashar Lake","Mandi","Easy",2730,"Year-round","Pagoda-style temple","Short trek to sacred lake",31.750,77.100
"Pin Parvati Pass","Kullu","Hard",5319,"Jul-Sep","Ancient trade route","One of toughest Himalayan crossover treks",31.870,77.800
"Indrahar Pass","Kangra","Moderate",4342,"May-Oct","Historic route between Kangra-Chamba","Rocky trails with snow patches",32.300,76.450
"Kareri Lake","Kangra","Easy-Moderate",2930,"May-Jul,Sep-Nov","Sacred freshwater lake","Crystal-clear lake trek",32.280,76.320
"Deo Tibba Base Camp","Kullu","Moderate",4480,"Jun-Oct","Mythological association","Glacier and alpine terrain trek",32.330,77.350
"Friendship Peak","Kullu","Hard",5289,"May-Jun,Sep-Oct","Mountaineering training peak","Snow summit climb experience",32.340,77.360
"Stok Kangri","Leh","Hard",6153,"Jun-Sep","Popular trekking peak","High-altitude summit expedition",33.930,77.420
"Kashmir Great Lakes","Ganderbal","Moderate-Hard",4200,"Jul-Sep","Historic trade trails","Multiple alpine lakes trek",34.350,75.300
"Tarsar Marsar","Anantnag","Moderate",4000,"Jun-Sep","Remote valley exploration","Twin alpine lakes trek",33.750,75.300
"Markha Valley","Leh","Moderate",5200,"Jun-Sep","Ancient Silk Route link","Cultural trek through Ladakhi villages",34.100,77.600
"Sham Valley","Leh","Easy",3900,"Apr-Oct","Monastery trail","Beginner trek in Ladakh",34.200,77.500
"Lamayuru to Alchi","Leh","Moderate",5000,"Jun-Sep","Buddhist monastery trail","Historic monasteries trek",34.300,76.770
"Rumtse to Tso Moriri","Leh","Hard",5430,"Jun-Sep","Nomadic Changpa route","Remote high-altitude trek",33.200,78.200
"Goechala Trek","Sikkim","Hard",4940,"Apr-Jun,Sep-Nov","Viewpoint of Kanchenjunga","High-altitude trek with sunrise views",27.330,88.220
