Trek_Name,District,Difficulty,Height_m,Best_Season,Historical_Significance,Description,Latitude,Longitude
Rajgad Fort,Pune,Moderate,1376,Oct-Feb,Capital of Shivaji Maharaj,Historic fort with massive structure and scenic views,18.2467,73.6827
Torna Fort,Pune,Moderate,1405,Oct-Feb,First fort captured by Shivaji Maharaj,Known as Prachandagad with long trekking routes,18.2769,73.6226
Sinhagad Fort,Pune,Easy,1312,Monsoon-Winter,Battle of Tanaji Malusare,Popular fort near Pune with easy access,18.3663,73.7559
Raigad Fort,Raigad,Moderate,820,Oct-Feb,Capital of Maratha Empire,Coronation place of Shivaji Maharaj,18.2346,73.4445
Pratapgad Fort,Satara,Easy,1080,Oct-Feb,Battle of Afzal Khan,Well-preserved fort with historical importance,17.9330,73.5780
Lohagad Fort,Pune,Easy,1033,Monsoon-Winter,Used for treasury storage,Fort with iconic Vinchu Kata ridge,18.7100,73.4790
Visapur Fort,Pune,Moderate,1084,Monsoon-Winter,British fortification ruins,Larger twin fort of Lohagad with scenic plateau,18.7202,73.4855
Kalsubai Peak,Ahmednagar,Difficult,1646,Oct-Feb,Highest peak of Maharashtra,Popular trekking peak with iron ladders,19.6012,73.7083
Harishchandragad,Ahmednagar,Difficult,1424,Oct-Feb,Ancient fort with temples,Famous for Konkan Kada cliff,19.3906,73.7756
Alang Fort,Nashik,Difficult,1479,Oct-Feb,Part of AMK forts,Requires technical climbing skills,19.5975,73.6850
Madan Fort,Nashik,Difficult,1460,Oct-Feb,Part of AMK forts,Challenging trek with rock patches,19.5880,73.6800
Kulang Fort,Nashik,Difficult,1470,Oct-Feb,Part of AMK forts,Remote fort with caves and water cisterns,19.5950,73.7000
Tikona Fort,Pune,Easy,1066,Monsoon-Winter,Watch tower fort,Pyramid-shaped fort with panoramic views,18.6500,73.5100
Rajmachi Fort,Pune,Moderate,820,Monsoon-Winter,Trade route control,Consists of Shrivardhan and Manaranjan forts,18.8300,73.4000
Sudhagad Fort,Raigad,Moderate,620,Oct-Feb,Proposed capital by Shivaji,Massive plateau fort,18.5300,73.3500
Mahuli Fort,Thane,Difficult,853,Oct-Feb,Strategic fort near Mumbai,Highest point in Thane district,19.4700,73.2600
Vasota Fort,Satara,Moderate,1171,Oct-Feb,Forest fort,Located inside Koyna Wildlife Sanctuary,17.7200,73.7500
Salher Fort,Nashik,Difficult,1567,Oct-Feb,Battle of Salher,One of the highest forts in Maharashtra,20.7000,73.9500
Mulher Fort,Nashik,Difficult,1300,Oct-Feb,Strategic Baglan fort,Near Salher with historical importance,20.7800,73.9300
Hadsar Fort,Pune,Moderate,1370,Oct-Feb,Ancient fort,Rock-cut steps and gates,19.1500,73.7000
Jivdhan Fort,Pune,Difficult,1145,Oct-Feb,Trade route fort,Known for Vanarlingi pinnacle,19.1500,73.6800
Korigad Fort,Pune,Easy,929,Monsoon-Winter,Used for surveillance,Plateau fort near Lonavala,18.6300,73.3900
Lingana Fort,Raigad,Difficult,882,Oct-Feb,Used as prison fort,Requires technical climb,18.2500,73.4800
Raigad Lingana Saddle,Raigad,Difficult,900,Oct-Feb,Strategic ridge,Technical trekking route,18.2400,73.4700
Manikgad Fort,Raigad,Moderate,572,Oct-Feb,Watch tower fort,Less crowded scenic trek,18.8900,73.2400
Peb Fort (Vikatgad),Raigad,Moderate,640,Monsoon-Winter,Watch tower fort,Popular near Neral,18.9800,73.2800
Matheran One Tree Hill,Raigad,Moderate,800,Monsoon-Winter,Colonial route trek,Scenic forest trail,18.9800,73.2700
Chanderi Fort,Thane,Difficult,790,Oct-Feb,Ancient fort,Steep climb with cave stay,19.0300,73.3300
Kalavantin Durg,Raigad,Difficult,686,Oct-Feb,Watch tower fort,Famous pinnacle climb,18.8900,73.1800
Prabalgad Fort,Raigad,Moderate,700,Oct-Feb,Strategic fort near Mumbai,Wide plateau fort,18.8900,73.1900
Irshalgad,Raigad,Difficult,370,Oct-Feb,Watch tower pinnacle,Short but steep climb,18.9200,73.2300
Matheran Panorama Point,Raigad,Easy,800,Monsoon-Winter,Viewpoint trek,Panoramic valley views,18.9900,73.2600
Sarasgad Fort,Raigad,Moderate,490,Oct-Feb,Strategic fort,Rock-cut steps and ladders,18.5500,73.2000
Avchitgad Fort,Raigad,Easy,300,Oct-Feb,Historic fort,Easy forest trek,18.6000,73.1000
Karnala Fort,Raigad,Moderate,440,Monsoon-Winter,Bird sanctuary fort,Located in Karnala sanctuary,18.8800,73.1200
Songiri Fort,Raigad,Easy,300,Oct-Feb,Watch tower fort,Short hike,18.8700,73.3000
Ghangad Fort,Pune,Moderate,880,Monsoon-Winter,Trade route fort,Scenic ridge walk,18.5200,73.3800
Tailbaila,Pune,Difficult,1000,Oct-Feb,Climbing spot,Twin wall climbing destination,18.5500,73.4300
Katraj Fort,Pune,Easy,730,Monsoon-Winter,Watch tower fort,Popular for sunset treks,18.4300,73.8600
Purandar Fort,Pune,Moderate,1387,Oct-Feb,Treaty of Purandar,Historic fort with twin peaks,18.2800,73.9800
Vajragad,Pune,Moderate,1400,Oct-Feb,Part of Purandar complex,Twin fort of Purandar,18.2700,73.9700
Malhargad,Pune,Easy,790,Oct-Feb,Last fort built by Marathas,Simple trek near Pune,18.2500,73.9700
Rohida Fort,Pune,Moderate,1100,Oct-Feb,Strategic fort,Also called Vichitragad,18.1600,73.6000
Kenjalgad,Pune,Moderate,1281,Oct-Feb,Ancient fort,Flat top plateau,18.1400,73.6000
Kamalgad,Satara,Difficult,1300,Oct-Feb,Prison fort,Deep well structure inside,17.9800,73.6500
Ajinkyatara,Satara,Easy,1100,Oct-Feb,Satara capital fort,City fort with easy access,17.6800,74.0000
Sajjangad,Satara,Easy,914,Oct-Feb,Samadhi of Samarth Ramdas,Religious significance,17.6400,73.9500
Vairatgad,Satara,Easy,1100,Oct-Feb,Ancient fort,Less crowded,17.8000,74.0000
Chandan Fort,Satara,Easy,1100,Oct-Feb,Twin fort,Paired with Vandan fort,17.7000,74.2000
Vandan Fort,Satara,Easy,1100,Oct-Feb,Twin fort,Paired with Chandan,17.7100,74.2100
Pandavgad,Satara,Moderate,1270,Oct-Feb,Mythological link,Near Wai,17.9500,73.9000
Kalyangad,Satara,Easy,900,Oct-Feb,Historic fort,Simple trek,17.6000,74.1000
Mahimangad,Satara,Easy,900,Oct-Feb,Ancient fort,Less explored,17.6500,74.3000
Santoshgad,Satara,Moderate,900,Oct-Feb,Strategic fort,Remote location,17.6000,74.4000
Varugad,Satara,Easy,900,Oct-Feb,Historic fort,Simple trek,17.5000,74.3000
Ankai Fort,Nashik,Moderate,961,Oct-Feb,Ancient fort,Part of Ankai-Tankai range,20.2500,74.5500
Tankai Fort,Nashik,Moderate,958,Oct-Feb,Ancient fort,Twin fort with Ankai,20.2600,74.5600
Dhak Bahiri,Pune,Difficult,1200,Oct-Feb,Spiritual caves,Requires rock climbing,18.7500,73.5000
Bhairavgad (Moroshi),Thane,Difficult,760,Oct-Feb,Watch tower pinnacle,Technical climb required,19.3500,73.6500
Bhairavgad (Shirpunje),Ahmednagar,Moderate,1145,Oct-Feb,Ancient cave temple,Popular trek,19.4500,73.8000
Gorakhgad,Thane,Difficult,689,Oct-Feb,Ancient caves,Steep rock patch climb,19.3500,73.5000
Machindragad,Thane,Difficult,750,Oct-Feb,Historic caves,Requires technical climbing,19.3600,73.5100
Kohoj Fort,Palghar,Moderate,565,Oct-Feb,Watch tower fort,Less crowded trek,19.7000,72.9000
Asherigad Fort,Palghar,Moderate,540,Oct-Feb,Portuguese fort,Historic plateau fort,19.6500,72.9000
Gambhirgad,Thane,Moderate,700,Oct-Feb,Ancient fort,Forest trek,19.4000,73.3000
Sagargad,Raigad,Easy,357,Oct-Feb,Coastal fort,Near Alibaug,18.6500,72.9000
Kolaba Fort,Raigad,Easy,0,Oct-Feb,Naval fort,Built in sea near Alibaug,18.6400,72.8700
Khanderi Fort,Raigad,Easy,0,Oct-Feb,Naval fort,Island fort near Mumbai,18.7200,72.9000
Underi Fort,Raigad,Easy,0,Oct-Feb,Naval fort,Twin fort of Khanderi,18.7100,72.8800
Bankot Fort,Ratnagiri,Easy,80,Oct-Feb,Coastal fort,Overlooks Savitri river,17.9800,73.0300
Jaigad Fort,Ratnagiri,Easy,0,Oct-Feb,Sea fort,Near Jaigad creek,17.2900,73.2200
Devgad Fort,Sindhudurg,Easy,0,Oct-Feb,Sea fort,Historic coastal fort,16.3800,73.3700
Nivati Fort,Sindhudurg,Easy,0,Oct-Feb,Portuguese fort,Coastal defense fort,15.8800,73.7000
Paranda Fort,Osmanabad,Easy,650,Oct-Feb,Bahmani fort,Well-preserved structure,18.2700,75.4000
Naldurg Fort,Osmanabad,Easy,670,Oct-Feb,Bahmani fort,Massive fort with water defense,17.8200,76.3000
Udgir Fort,Latur,Easy,670,Oct-Feb,Battle of Udgir,Historic fort in Marathwada,18.3900,77.1200
Kandhar Fort,Nanded,Easy,400,Oct-Feb,Rashtrakuta fort,Historic ruins,18.8500,77.0000
Mahur Fort,Nanded,Moderate,800,Oct-Feb,Religious significance,Temple fort,19.8300,77.9500
Salota Fort,Nashik,Difficult,1510,Oct-Feb,Strategic fort,Near Salher,20.7100,73.9600
Hargad Fort,Nashik,Difficult,1400,Oct-Feb,Ancient fort,Part of Baglan range,20.7200,73.9400
Achala Fort,Nashik,Difficult,1400,Oct-Feb,Ancient fort,Remote trek,20.7300,73.9300
Ahivant Fort,Nashik,Difficult,1400,Oct-Feb,Strategic fort,Large plateau,20.6000,74.0000
Markandeya Fort,Nashik,Difficult,1350,Oct-Feb,Ancient fort,Challenging climb,20.6100,74.0100
Saptashrungi Gad,Nashik,Moderate,1215,Oct-Feb,Religious site,Temple atop hill,20.4700,73.9300
Indrai Fort,Nashik,Moderate,1300,Oct-Feb,Ancient fort,Near Anjaneri,20.0000,73.8000
Anjaneri Fort,Nashik,Moderate,1290,Oct-Feb,Birthplace of Hanuman,Religious trekking site,19.9400,73.8000
Tringalwadi Fort,Nashik,Moderate,1030,Oct-Feb,Ancient fort,Near Igatpuri,19.6900,73.6500
Bitangad,Nashik,Difficult,1100,Oct-Feb,Ancient fort,Requires climbing skills,19.6300,73.7000
Aundha Fort,Nashik,Moderate,1300,Oct-Feb,Ancient fort,Remote location,19.6500,73.6800
Patta Fort,Nashik,Moderate,1400,Oct-Feb,Strategic fort,Large plateau,19.6000,73.7000
Ratangad,Ahmednagar,Moderate,1297,Oct-Feb,Ancient fort,Famous for Nedhe hole,19.5000,73.7000
Sandhan Valley,Ahmednagar,Difficult,1200,Oct-Feb,Geological wonder,Valley trek,19.5000,73.7000
Aadrai Jungle,Ahmednagar,Moderate,1100,Monsoon,Forest trek,Dense jungle trail,19.5200,73.7200
Kunjargad,Ahmednagar,Moderate,1400,Oct-Feb,Ancient fort,Remote trekking spot,19.4000,73.9000
Shivneri Fort,Pune,Easy,1050,Oct-Feb,Birthplace of Shivaji Maharaj,Historic fort,19.1900,73.8600
Naneghat,Pune,Moderate,840,Monsoon,Ancient trade route,Historic pass,19.3200,73.6800
Janjira Fort,Raigad,Easy,0,Oct-Feb,Unconquered sea fort,Island fort,18.3000,72.9600
Padmadurg Fort,Raigad,Easy,0,Oct-Feb,Naval fort,Built opposite Janjira,18.3200,72.9500
